ID,Question,Actual,Predicted,Method,Latency,Correct
180,இரண்டு 2களை மட்டும் பயன்படுத்தி 4-ஐ உருவாக்குங்கள்.,Mathematical,Mathematical,Layer 1 (Weighted Keywords),0.0004,1
181,திருமணத்தில் வாசிக்கும் கருவி என்ன?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.1032,1
182,ആരും കുടിക്കാത്ത വെള്ളം ഏതാണ്?,Wordplay,Wordplay,Layer 1 (Weighted Keywords),0.0,1
183,തല വെട്ടിയാൽ ഉയരം കൂടും,Cultural,Logic,Layer 2 (Weighted Semantic Vote),0.0965,0
184,"மூடி மூடி வைத்தாலும், ஊடி ஊடி வரும், நான் யார்?",Wordplay,Wordplay,Layer 2 (Confident Match),0.055,1
185,திருவிழாவில் வரும் மக்கள் என்ன?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.0859,1
186,"சுட்டு சுட்டு சாப்பிடுவார்கள், கிட்டு கிட்டு கரையும், நான் யார்?",Wordplay,Wordplay,Layer 2 (Confident Match),0.055,1
187,ആരും വയ്ക്കാത്ത പൂവ് ഏതാണ്?,Wordplay,Wordplay,Layer 1 (Weighted Keywords),0.0,1
188,തറയിൽ തട്ടിയാൽ ഉയരത്തിൽ ചാടും,Logic,Logic,Layer 2 (Weighted Semantic Vote),0.0976,1
189,കയറാൻ പറ്റും പക്ഷേ ഇറങ്ങാൻ പറ്റില്ല,Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1002,1
190,அழகான பெண்ணுக்கு அதிசயமான வியாதி...,Wordplay,Cultural,Layer 2 (Weighted Semantic Vote),0.0993,0
191,திருவிழாவில் வரும் தேர் என்ன?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.094,1
192,அரை லிட்டர் என்பது எத்தனை மில்லிலிட்டர்?,Mathematical,Mathematical,Layer 2 (Weighted Semantic Vote),0.0998,1
193,കല്ലില്ലാത്ത കല്ല് ഏതാണ്?,Wordplay,Wordplay,Layer 1 (Weighted Keywords),0.0,1
194,കടലിൽ ജനിക്കും വീട്ടിൽ മരിക്കും,Logic,Cultural,Layer 2 (Weighted Semantic Vote),0.1017,0
195,"என்னை வேக வைத்தால் நான் கடினமாவேன், உங்களை வேக வைத்தால் நீங்கள் மென்மையாவீர்கள் — நான் என்ன?",Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1176,1
196,என்னை அழித்தாலும் நான் மீண்டும் உருவாவேன் — நான் என்ன?,Logic,Wordplay,Layer 2 (Weighted Semantic Vote),0.0999,0
197,"வானில் பறக்கும், ஆனால் பறவை இல்லை; சத்தமாக வரும் ஆனால் பேசாது — நான் என்ன?",Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1073,1
198,"ஒரு நாளில் ஆயிரம் மைல் பயணிக்கும், ஆனால் அதே இடத்திலேயே இருக்கும் — நான் யார்?",Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1075,1
199,27-இன் கன வர்க்க மூலம் என்ன?,Mathematical,Mathematical,Layer 2 (Weighted Semantic Vote),0.1111,1
200,വെള്ളത്തിനടിയിൽ കൂടുണ്ടാക്കുന്നവൻ,Logic,Cultural,Layer 2 (Weighted Semantic Vote),0.1088,0
201,முப்பதை மூன்றால் வகுத்தால் கிடைப்பது என்ன?,Mathematical,Wordplay,Layer 2 (Weighted Semantic Vote),0.1005,0
202,"தட்டு தட்டு அடிப்பேன், ஒட்டு ஒட்டு ஒலிப்பேன், நான் யார்?",Wordplay,Wordplay,Layer 2 (Confident Match),0.0542,1
203,നടുവിൽ വയറുള്ളവൻ,Logic,Wordplay,Layer 2 (Weighted Semantic Vote),0.0945,0
204,பொங்கலில் வைக்கும் பால் என்ன?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.1006,1
205,വായ തുറന്നാൽ പല്ല് കാണാം,Logic,Cultural,Layer 2 (Weighted Semantic Vote),0.1049,0
206,"ஊரில் உள்ள அனைவரும் என்னை அறிவார்கள், ஆனால் என்னை பார்த்தவர் யாரும் இல்லை — நான் என்ன?",Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1339,1
207,"நட்டி நட்டி வளர்வேன், கட்டி கட்டி பிடிப்பேன், நான் யார்?",Wordplay,Wordplay,Layer 2 (Confident Match),0.0605,1
208,ഉള്ളു പൊള്ളയായ രാജാവിന് പച്ചക്കോട്ട,Cultural,Wordplay,Layer 2 (Weighted Semantic Vote),0.1252,0
209,"மெல்ல மெல்ல விழும், கல்ல கல்ல ஆகும், நான் யார்?",Wordplay,Wordplay,Layer 2 (Confident Match),0.0744,1
210,"அனைவரும் விரும்புகிறார்கள், ஆனால் யாரும் வேண்டாம் என்று சொல்ல மாட்டார்கள் — நான் என்ன?",Logic,Logic,Layer 2 (Weighted Semantic Vote),0.2331,1
211,"சத்தமின்றி நடப்பேன், சத்தமின்றி கொல்வேன் — நான் யார்?",Logic,Wordplay,Layer 2 (Weighted Semantic Vote),0.1451,0
212,ഏത് സംഖ്യയെ പൂജ്യം കൊണ്ട് ഗുണിച്ചാലും ഉത്തരം എന്തായിരിക്കും?,Mathematical,Mathematical,Layer 2 (Confident Match),0.0621,1
213,നൂറിന്റെ പകുതിയുടെ പകുതി എത്ര?,Mathematical,Mathematical,Layer 1 (Weighted Keywords),0.001,1
214,ஒரு கடல்கப்பல் ஏணி கீழிருந்து 6 படிகள் நீரில் உள்ளது. நீர் 3 படி உயர்ந்தால் எத்தனை படிகள் மூழ்கும்?,Mathematical,Mathematical,Layer 1 (Weighted Keywords),0.0,1
215,കാണാൻ പറ്റില്ല പക്ഷേ കേൾക്കാൻ പറ്റും,Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1147,1
216,திருமணத்தில் வாசிக்கும் இசை என்ன?,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.1153,1
217,കണ്ണില്ലാത്തവന് കാഴ്ച കൊടുക്കും,Cultural,Logic,Layer 2 (Confident Match),0.0679,0
218,വരയ്ക്കും തോറും കുറഞ്ഞു പോകുന്ന സാധനം,Logic,Logic,Layer 2 (Weighted Semantic Vote),0.1639,1
219,തലയുണ്ട് മുടിയില്ല വായുണ്ട് സംസാരിക്കില്ല,Cultural,Logic,Layer 2 (Weighted Semantic Vote),0.1502,0
220,മുത്തപ്പന്റെ താടിയിൽ ഊഞ്ഞാലാട്ടം,Cultural,Cultural,Layer 2 (Weighted Semantic Vote),0.1308,1
221,പൊങ്ങിക്കിടക്കും പക്ഷേ പറക്കില്ല,Logic,Logic,Layer 2 (Confident Match),0.0934,1
222,பிப்ரவரி மாதத்தில் உள்ள நாட்கள் என்ன?,Mathematical,Cultural,Layer 2 (Weighted Semantic Vote),0.2354,0
